Stafford House	London	UK	Residence	U18's Summer Residence	Single	Private	FB	515	70	0	16	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	London	UK	Residence	U18's Summer Residence	Twin	Private	FB	515	70	0	16	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	London	UK	Residence	Standard Summer Residence	Single	Private	SC	410	70	0	18	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	Cambridge	UK	Homestay	Homestay	Single	Shared	HB	245	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	Cambridge	UK	Homestay	Homestay	Twin	Shared	HB	215	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	Cambridge	UK	Homestay	Superior Homestay	Single	Private	HB	330	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	Cambridge	UK	Residence	Stafford House Residence	Single	Private	SC	260	70	0	18	0	25	27/06/2026	01/08/2026							
Stafford House	Cambridge	UK	Residence	Standard Summer Residence	Single	Private	SC	285	70	0	18	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	Cambridge	UK	Residence	U18's Summer Residence	Single	Private	FB	380	70	0	16	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	Canterbury	UK	Homestay	Homestay	Single	Shared	HB	240	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	Canterbury	UK	Homestay	Homestay	Twin	Shared	HB	215	70	0	16	0	25	27/06/2026	15/08/2026	50	19/12/2026	26/12/2026				
Stafford House	Canterbury	UK	Residence	Stafford House Residence	Single	Private	SC	240	70	0	18	0	25	27/06/2026	01/08/2026							
Stafford House	Canterbury	UK	Residence	Summer Residence	Single	Private	FB	335	70	0	18	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	Canterbury	UK	Residence	U18's Summer Residence	Single	Private	FB	335	70	0	16	0							Academic Year	100	05/09/2026	26/12/2026
Stafford House	Canterbury	UK	Residence	U18's Summer Residence	Twin	Private	FB	320	70	0	16	0							Academic Year	100	05/09/2026	26/12/2026
